Estructura;Tiempos;ID;SetDatos;etc
compressedDense;0;44506;subset100000;
compressedDense;0;30904;subset100000;
compressedDense;0;76180;subset100000;
compressedDense;0;39527;subset100000;
compressedDense;0;14448;subset100000;
compressedDense;0;461;subset100000;
compressedDense;0;1228;subset100000;
compressedDense;0;7435;subset100000;
compressedDense;0;68244;subset100000;
compressedDense;0;16831;subset100000;
compressedDense;0;6272;subset100000;
compressedDense;0;17126;subset100000;
compressedDense;0;75853;subset100000;
compressedDense;0;6285;subset100000;
compressedDense;0;67646;subset100000;
compressedDense;0;26794;subset100000;
compressedDense;0;67986;subset100000;
compressedDense;0;1340;subset100000;
compressedDense;0;40746;subset100000;
compressedDense;0;77473;subset100000;
compressedDense;0;81649;subset100000;
compressedDense;0;38973;subset100000;
compressedDense;0;82628;subset100000;
compressedDense;0;92554;subset100000;
compressedDense;0;21833;subset100000;
compressedDense;0;22503;subset100000;
compressedDense;0;42672;subset100000;
compressedDense;0;84228;subset100000;
compressedDense;0;79439;subset100000;
compressedDense;0;61948;subset100000;
compressedDense;0;40040;subset100000;
compressedDense;0;23725;subset100000;
compressedDense;0;45001;subset100000;
compressedDense;0;71204;subset100000;
compressedDense;0;42244;subset100000;
compressedDense;0;89665;subset100000;
compressedDense;0;1130;subset100000;
compressedDense;0;28195;subset100000;
compressedDense;0;45988;subset100000;
compressedDense;0;93209;subset100000;
compressedDense;0;63844;subset100000;
compressedDense;0;31415;subset100000;
compressedDense;0;26873;subset100000;
compressedDense;0;11919;subset100000;
compressedDense;0;85490;subset100000;
compressedDense;0;70685;subset100000;
compressedDense;0;58635;subset100000;
compressedDense;0;10693;subset100000;
compressedDense;0;36813;subset100000;
compressedDense;0;16162;subset100000;
compressedDense;0;70544;subset100000;
compressedDense;0;96190;subset100000;
compressedDense;0;1857;subset100000;
compressedDense;0;41171;subset100000;
compressedDense;0;98582;subset100000;
compressedDense;0;75460;subset100000;
compressedDense;0;90111;subset100000;
compressedDense;0;17787;subset100000;
compressedDense;0;61249;subset100000;
compressedDense;0;12926;subset100000;
compressedDense;0;55047;subset100000;
compressedDense;0;6730;subset100000;
compressedDense;0;85102;subset100000;
compressedDense;0;65579;subset100000;
compressedDense;0;7864;subset100000;
compressedDense;0;63366;subset100000;
compressedDense;0;71867;subset100000;
compressedDense;0;71236;subset100000;
compressedDense;0;4426;subset100000;
compressedDense;0;88110;subset100000;
compressedDense;0;93543;subset100000;
compressedDense;0;38100;subset100000;
compressedDense;0;24736;subset100000;
compressedDense;0;3196;subset100000;
compressedDense;0;21716;subset100000;
compressedDense;0;64753;subset100000;
compressedDense;0;31338;subset100000;
compressedDense;0;15775;subset100000;
compressedDense;0;89961;subset100000;
compressedDense;0;26630;subset100000;
compressedDense;0;33604;subset100000;
compressedDense;0;59631;subset100000;
compressedDense;0;45166;subset100000;
compressedDense;0;62672;subset100000;
compressedDense;0;53954;subset100000;
compressedDense;0;88957;subset100000;
compressedDense;0;72051;subset100000;
compressedDense;0;28234;subset100000;
compressedDense;0;67168;subset100000;
compressedDense;0;69811;subset100000;
compressedDense;0;91008;subset100000;
compressedDense;0;30252;subset100000;
compressedDense;0;32754;subset100000;
compressedDense;0;96605;subset100000;
compressedDense;0;61111;subset100000;
compressedDense;0;6909;subset100000;
compressedDense;0;64367;subset100000;
compressedDense;0;61273;subset100000;
compressedDense;0;20844;subset100000;
compressedDense;0;5620;subset100000;
compressedDense;0;66239;subset100000;
compressedDense;0;80638;subset100000;
compressedDense;0;64894;subset100000;
compressedDense;0;13505;subset100000;
compressedDense;0;94289;subset100000;
compressedDense;0;17621;subset100000;
compressedDense;0;90701;subset100000;
compressedDense;0;64129;subset100000;
compressedDense;0;16420;subset100000;
compressedDense;0;53880;subset100000;
compressedDense;0;8143;subset100000;
compressedDense;0;45626;subset100000;
compressedDense;0;34375;subset100000;
compressedDense;0;10747;subset100000;
compressedDense;0;8151;subset100000;
compressedDense;0;26391;subset100000;
compressedDense;0;34304;subset100000;
compressedDense;0;54604;subset100000;
compressedDense;0;2482;subset100000;
compressedDense;0;27104;subset100000;
compressedDense;0;28551;subset100000;
compressedDense;0;56049;subset100000;
compressedDense;0;73068;subset100000;
compressedDense;0;54419;subset100000;
compressedDense;0;81408;subset100000;
compressedDense;0;66277;subset100000;
compressedDense;0;43841;subset100000;
compressedDense;0;19486;subset100000;
compressedDense;0;37931;subset100000;
compressedDense;0;22274;subset100000;
compressedDense;0;61088;subset100000;
compressedDense;0;46850;subset100000;
compressedDense;0;87101;subset100000;
compressedDense;0;21131;subset100000;
compressedDense;0;98405;subset100000;
compressedDense;0;95044;subset100000;
compressedDense;0;1081;subset100000;
compressedDense;0;138;subset100000;
compressedDense;0;85749;subset100000;
compressedDense;0;3456;subset100000;
compressedDense;0;34884;subset100000;
compressedDense;0;36600;subset100000;
compressedDense;0;60744;subset100000;
compressedDense;0;33198;subset100000;
compressedDense;0;1588;subset100000;
compressedDense;0;9682;subset100000;
compressedDense;0;55243;subset100000;
compressedDense;0;38400;subset100000;
compressedDense;0;54332;subset100000;
compressedDense;0;41743;subset100000;
compressedDense;0;21285;subset100000;
compressedDense;0;37150;subset100000;
compressedDense;0;62392;subset100000;
compressedDense;0;23727;subset100000;
compressedDense;0;87480;subset100000;
compressedDense;0;85555;subset100000;
compressedDense;0;82181;subset100000;
compressedDense;0;39304;subset100000;
compressedDense;0;57547;subset100000;
compressedDense;0;37427;subset100000;
compressedDense;0;31830;subset100000;
compressedDense;0;96726;subset100000;
compressedDense;0;36931;subset100000;
compressedDense;0;82205;subset100000;
compressedDense;0;54846;subset100000;
compressedDense;0;69946;subset100000;
compressedDense;0;16246;subset100000;
compressedDense;0;69545;subset100000;
compressedDense;0;46994;subset100000;
compressedDense;0;48550;subset100000;
compressedDense;0;85684;subset100000;
compressedDense;0;64351;subset100000;
compressedDense;0;25724;subset100000;
compressedDense;0;57496;subset100000;
compressedDense;0;61324;subset100000;
compressedDense;0;14495;subset100000;
compressedDense;0;85044;subset100000;
compressedDense;0;82125;subset100000;
compressedDense;0;25571;subset100000;
compressedDense;0;15112;subset100000;
compressedDense;0;17635;subset100000;
compressedDense;0;95458;subset100000;
compressedDense;0;92779;subset100000;
compressedDense;0;98433;subset100000;
compressedDense;0;10096;subset100000;
compressedDense;0;50663;subset100000;
compressedDense;0;61665;subset100000;
compressedDense;0;95202;subset100000;
compressedDense;0;49511;subset100000;
compressedDense;0;24323;subset100000;
compressedDense;0;5001;subset100000;
compressedDense;0;23028;subset100000;
compressedDense;0;7987;subset100000;
compressedDense;0;58704;subset100000;
compressedDense;0;96900;subset100000;
compressedDense;0;79918;subset100000;
compressedDense;0;18566;subset100000;
compressedDense;0;8740;subset100000;
compressedDense;0;37511;subset100000;
compressedDense;0;53972;subset100000;
compressedDense;0;71675;subset100000;
compressedDense;0;75310;subset100000;
compressedDense;0;99273;subset100000;
compressedDense;0;84962;subset100000;
compressedDense;0;56784;subset100000;
compressedDense;0;97667;subset100000;
compressedDense;0;67193;subset100000;
compressedDense;0;37709;subset100000;
compressedDense;0;26088;subset100000;
compressedDense;0;79015;subset100000;
compressedDense;0;63533;subset100000;
compressedDense;0;88637;subset100000;
compressedDense;0;62192;subset100000;
compressedDense;0;64491;subset100000;
compressedDense;0;45514;subset100000;
compressedDense;0;51962;subset100000;
compressedDense;0;54302;subset100000;
compressedDense;0;76752;subset100000;
compressedDense;0;50678;subset100000;
compressedDense;0;51130;subset100000;
compressedDense;0;34653;subset100000;
compressedDense;0;39854;subset100000;
compressedDense;0;67084;subset100000;
compressedDense;0;53772;subset100000;
compressedDense;0;10766;subset100000;
compressedDense;1;298;subset100000;
compressedDense;0;56268;subset100000;
compressedDense;0;53865;subset100000;
compressedDense;0;33802;subset100000;
compressedDense;0;26707;subset100000;
compressedDense;0;42452;subset100000;
compressedDense;0;26970;subset100000;
compressedDense;0;79262;subset100000;
compressedDense;0;37777;subset100000;
compressedDense;0;4619;subset100000;
compressedDense;0;95143;subset100000;
compressedDense;0;60445;subset100000;
compressedDense;0;5037;subset100000;
compressedDense;0;98014;subset100000;
compressedDense;0;83500;subset100000;
compressedDense;0;2163;subset100000;
compressedDense;0;35718;subset100000;
compressedDense;0;38761;subset100000;
compressedDense;0;27710;subset100000;
compressedDense;0;4423;subset100000;
compressedDense;0;66999;subset100000;
compressedDense;0;20175;subset100000;
compressedDense;0;21733;subset100000;
compressedDense;0;38770;subset100000;
compressedDense;0;21561;subset100000;
compressedDense;0;18509;subset100000;
compressedDense;0;60290;subset100000;
compressedDense;0;44638;subset100000;
compressedDense;0;85683;subset100000;
compressedDense;0;9233;subset100000;
compressedDense;0;11825;subset100000;
compressedDense;0;71180;subset100000;
compressedDense;0;87223;subset100000;
compressedDense;0;1477;subset100000;
compressedDense;0;18307;subset100000;
compressedDense;0;3789;subset100000;
compressedDense;0;29003;subset100000;
compressedDense;0;25857;subset100000;
compressedDense;0;77029;subset100000;
compressedDense;0;28680;subset100000;
compressedDense;0;3024;subset100000;
compressedDense;0;97260;subset100000;
compressedDense;0;64880;subset100000;
compressedDense;0;52772;subset100000;
compressedDense;0;26582;subset100000;
compressedDense;0;69347;subset100000;
compressedDense;0;4141;subset100000;
compressedDense;0;86020;subset100000;
compressedDense;0;69896;subset100000;
compressedDense;0;46305;subset100000;
compressedDense;0;68707;subset100000;
compressedDense;0;45321;subset100000;
compressedDense;0;69993;subset100000;
compressedDense;0;39909;subset100000;
compressedDense;0;70252;subset100000;
compressedDense;0;89905;subset100000;
compressedDense;0;87943;subset100000;
compressedDense;0;9850;subset100000;
compressedDense;0;96397;subset100000;
compressedDense;0;93376;subset100000;
compressedDense;0;23205;subset100000;
compressedDense;0;66067;subset100000;
compressedDense;0;92030;subset100000;
compressedDense;0;28801;subset100000;
compressedDense;0;82159;subset100000;
compressedDense;0;88666;subset100000;
compressedDense;0;58325;subset100000;
compressedDense;0;84440;subset100000;
compressedDense;0;49821;subset100000;
compressedDense;0;63418;subset100000;
compressedDense;0;7109;subset100000;
compressedDense;0;34798;subset100000;
compressedDense;0;63615;subset100000;
compressedDense;0;99640;subset100000;
compressedDense;0;91084;subset100000;
compressedDense;0;63720;subset100000;
compressedDense;0;63412;subset100000;
compressedDense;0;64818;subset100000;
compressedDense;0;66315;subset100000;
compressedDense;0;46147;subset100000;
compressedDense;0;61384;subset100000;
compressedDense;0;86775;subset100000;
compressedDense;0;56130;subset100000;
compressedDense;0;64581;subset100000;
compressedDense;0;27171;subset100000;
compressedDense;0;44233;subset100000;
compressedDense;0;82880;subset100000;
compressedDense;0;63131;subset100000;
compressedDense;0;17409;subset100000;
compressedDense;0;7462;subset100000;
compressedDense;0;96884;subset100000;
compressedDense;0;67466;subset100000;
compressedDense;0;84089;subset100000;
compressedDense;0;75677;subset100000;
compressedDense;0;50766;subset100000;
compressedDense;0;3796;subset100000;
compressedDense;0;74272;subset100000;
compressedDense;0;92626;subset100000;
compressedDense;0;22416;subset100000;
compressedDense;0;78166;subset100000;
compressedDense;0;73523;subset100000;
compressedDense;0;40715;subset100000;
compressedDense;0;39773;subset100000;
compressedDense;0;11252;subset100000;
compressedDense;0;90678;subset100000;
compressedDense;0;38491;subset100000;
compressedDense;0;29235;subset100000;
compressedDense;0;11388;subset100000;
compressedDense;0;79178;subset100000;
compressedDense;0;84377;subset100000;
compressedDense;0;98094;subset100000;
compressedDense;1;59844;subset100000;
compressedDense;0;82929;subset100000;
compressedDense;0;20073;subset100000;
compressedDense;0;28068;subset100000;
compressedDense;0;9920;subset100000;
compressedDense;0;5401;subset100000;
compressedDense;0;32773;subset100000;
compressedDense;0;88346;subset100000;
compressedDense;0;55618;subset100000;
compressedDense;0;28454;subset100000;
compressedDense;0;66704;subset100000;
compressedDense;0;13099;subset100000;
compressedDense;0;57609;subset100000;
compressedDense;0;4906;subset100000;
compressedDense;0;98222;subset100000;
compressedDense;0;87253;subset100000;
compressedDense;0;42379;subset100000;
compressedDense;0;93951;subset100000;
compressedDense;0;23738;subset100000;
compressedDense;0;52660;subset100000;
compressedDense;0;40837;subset100000;
compressedDense;0;18745;subset100000;
compressedDense;0;54298;subset100000;
compressedDense;0;3766;subset100000;
compressedDense;0;3437;subset100000;
compressedDense;0;83615;subset100000;
compressedDense;0;89387;subset100000;
compressedDense;0;95085;subset100000;
compressedDense;0;61227;subset100000;
compressedDense;0;29277;subset100000;
compressedDense;0;17759;subset100000;
compressedDense;0;14866;subset100000;
compressedDense;0;28027;subset100000;
compressedDense;0;66429;subset100000;
compressedDense;0;26174;subset100000;
compressedDense;0;46652;subset100000;
compressedDense;0;29117;subset100000;
compressedDense;0;69359;subset100000;
