Estructura;Tiempos;ID;SetDatos
compressedDense;0;9483291;subset10000000;
compressedDense;0;1811170;subset10000000;
compressedDense;0;159878;subset10000000;
compressedDense;0;2289755;subset10000000;
compressedDense;0;1752614;subset10000000;
compressedDense;0;4064579;subset10000000;
compressedDense;0;36525;subset10000000;
compressedDense;0;7840603;subset10000000;
compressedDense;0;3543558;subset10000000;
compressedDense;0;5510265;subset10000000;
compressedDense;0;2030057;subset10000000;
compressedDense;0;7084437;subset10000000;
compressedDense;0;6282416;subset10000000;
compressedDense;0;7811381;subset10000000;
compressedDense;0;3726555;subset10000000;
compressedDense;0;1717880;subset10000000;
compressedDense;0;3803162;subset10000000;
compressedDense;0;2291376;subset10000000;
compressedDense;0;4082062;subset10000000;
compressedDense;0;9394083;subset10000000;
compressedDense;0;266237;subset10000000;
compressedDense;0;4208814;subset10000000;
compressedDense;0;9684628;subset10000000;
compressedDense;0;379629;subset10000000;
compressedDense;0;6145582;subset10000000;
compressedDense;0;9489391;subset10000000;
compressedDense;0;4486759;subset10000000;
compressedDense;0;7655214;subset10000000;
compressedDense;0;7168116;subset10000000;
compressedDense;0;7211186;subset10000000;
compressedDense;0;164348;subset10000000;
compressedDense;0;7975748;subset10000000;
compressedDense;0;9053817;subset10000000;
compressedDense;0;1937185;subset10000000;
compressedDense;0;7578041;subset10000000;
compressedDense;0;9694561;subset10000000;
compressedDense;0;3377928;subset10000000;
compressedDense;0;4187963;subset10000000;
compressedDense;0;5500620;subset10000000;
compressedDense;0;8774497;subset10000000;
compressedDense;0;1259842;subset10000000;
compressedDense;0;2034707;subset10000000;
compressedDense;0;7526265;subset10000000;
compressedDense;0;3710476;subset10000000;
compressedDense;0;1823577;subset10000000;
compressedDense;0;5234519;subset10000000;
compressedDense;0;7336323;subset10000000;
compressedDense;0;836952;subset10000000;
compressedDense;0;792007;subset10000000;
compressedDense;0;2330568;subset10000000;
compressedDense;0;1179326;subset10000000;
compressedDense;0;119172;subset10000000;
compressedDense;0;8880310;subset10000000;
compressedDense;0;2084845;subset10000000;
compressedDense;0;7358782;subset10000000;
compressedDense;0;8408904;subset10000000;
compressedDense;0;4468461;subset10000000;
compressedDense;0;400901;subset10000000;
compressedDense;0;2482618;subset10000000;
compressedDense;0;3438821;subset10000000;
compressedDense;0;3412806;subset10000000;
compressedDense;0;7152700;subset10000000;
compressedDense;0;4783331;subset10000000;
compressedDense;0;1414579;subset10000000;
compressedDense;0;1607161;subset10000000;
compressedDense;0;4715513;subset10000000;
compressedDense;0;8958642;subset10000000;
compressedDense;0;7502071;subset10000000;
compressedDense;0;7231363;subset10000000;
compressedDense;0;5190077;subset10000000;
compressedDense;0;9963268;subset10000000;
compressedDense;0;1573530;subset10000000;
compressedDense;0;6796609;subset10000000;
compressedDense;0;5892575;subset10000000;
compressedDense;0;111004;subset10000000;
compressedDense;0;7204995;subset10000000;
compressedDense;0;9145365;subset10000000;
compressedDense;0;3307051;subset10000000;
compressedDense;0;3189620;subset10000000;
compressedDense;0;707150;subset10000000;
compressedDense;0;8371048;subset10000000;
compressedDense;0;7365307;subset10000000;
compressedDense;0;7476978;subset10000000;
compressedDense;0;7565954;subset10000000;
compressedDense;0;1297596;subset10000000;
compressedDense;0;4929193;subset10000000;
compressedDense;0;8022619;subset10000000;
compressedDense;0;7404503;subset10000000;
compressedDense;0;2672280;subset10000000;
compressedDense;0;1364831;subset10000000;
compressedDense;0;5200308;subset10000000;
compressedDense;0;9153440;subset10000000;
compressedDense;0;4851712;subset10000000;
compressedDense;0;883127;subset10000000;
compressedDense;0;1012818;subset10000000;
compressedDense;0;1456994;subset10000000;
compressedDense;0;2271773;subset10000000;
compressedDense;0;6998201;subset10000000;
compressedDense;0;6717030;subset10000000;
compressedDense;0;2552098;subset10000000;
compressedDense;0;750962;subset10000000;
compressedDense;0;4119069;subset10000000;
compressedDense;0;2924081;subset10000000;
compressedDense;0;3105365;subset10000000;
compressedDense;0;457186;subset10000000;
compressedDense;0;3015976;subset10000000;
compressedDense;0;6699561;subset10000000;
compressedDense;0;448987;subset10000000;
compressedDense;0;1661902;subset10000000;
compressedDense;0;2594508;subset10000000;
compressedDense;0;4737028;subset10000000;
compressedDense;0;8329542;subset10000000;
compressedDense;0;5994346;subset10000000;
compressedDense;0;3436442;subset10000000;
compressedDense;0;3603738;subset10000000;
compressedDense;0;6762258;subset10000000;
compressedDense;0;4932001;subset10000000;
compressedDense;0;9391397;subset10000000;
compressedDense;0;7048341;subset10000000;
compressedDense;0;3973356;subset10000000;
compressedDense;0;7250343;subset10000000;
compressedDense;0;8825866;subset10000000;
compressedDense;0;7851508;subset10000000;
compressedDense;0;6162494;subset10000000;
compressedDense;0;3700853;subset10000000;
compressedDense;0;4582973;subset10000000;
compressedDense;0;4163952;subset10000000;
compressedDense;0;7027765;subset10000000;
compressedDense;0;8941028;subset10000000;
compressedDense;0;3100340;subset10000000;
compressedDense;0;1809484;subset10000000;
compressedDense;0;8507897;subset10000000;
compressedDense;0;5121387;subset10000000;
compressedDense;0;7108766;subset10000000;
compressedDense;0;4002583;subset10000000;
compressedDense;0;837270;subset10000000;
compressedDense;0;2093073;subset10000000;
compressedDense;0;6112626;subset10000000;
compressedDense;0;5276685;subset10000000;
compressedDense;0;4564117;subset10000000;
compressedDense;0;6813413;subset10000000;
compressedDense;0;7688398;subset10000000;
compressedDense;0;1734681;subset10000000;
compressedDense;0;3578930;subset10000000;
compressedDense;0;1531669;subset10000000;
compressedDense;0;4405795;subset10000000;
compressedDense;0;2100710;subset10000000;
compressedDense;0;7122264;subset10000000;
compressedDense;0;5524429;subset10000000;
compressedDense;0;3699864;subset10000000;
compressedDense;0;5590593;subset10000000;
compressedDense;0;853394;subset10000000;
compressedDense;0;1785105;subset10000000;
compressedDense;0;2173746;subset10000000;
